sire,dam,m_date,d_date,f_date
1,1,2016-OCT-27,2016-NOV-26,2017-JAN-01
1,2,2016-OCT-27,2016-NOV-26,2017-JAN-01
1,3,2016-OCT-27,2016-NOV-26,2017-JAN-01
2,1,2016-OCT-27,2016-NOV-26,2017-JAN-01
2,2,2016-OCT-27,2016-NOV-26,2017-JAN-01
2,3,2016-OCT-27,2016-NOV-26,2017-JAN-01
3,1,2016-OCT-27,2016-NOV-26,2017-JAN-01
3,2,2016-OCT-27,2016-NOV-26,2017-JAN-01
3,3,2016-OCT-27,2016-NOV-26,2017-JAN-01
4,1,2016-OCT-27,2016-NOV-26,2017-JAN-01
4,2,2016-OCT-27,2016-NOV-26,2017-JAN-01
4,3,2016-OCT-27,2016-NOV-26,2017-JAN-01
5,1,2016-OCT-27,2016-NOV-26,2017-JAN-01
5,2,2016-OCT-27,2016-NOV-26,2017-JAN-01
5,3,2016-OCT-27,2016-NOV-26,2017-JAN-01
6,1,2016-OCT-27,2016-NOV-26,2017-JAN-01
6,2,2016-OCT-27,2016-NOV-26,2017-JAN-01
6,3,2016-OCT-27,2016-NOV-26,2017-JAN-01
7,1,2016-OCT-27,2016-NOV-26,2017-JAN-01
7,2,2016-OCT-27,2016-NOV-26,2017-JAN-01
7,3,2016-OCT-27,2016-NOV-26,2017-JAN-01
8,1,2016-OCT-27,2016-NOV-26,2017-JAN-01
8,2,2016-OCT-27,2016-NOV-26,2017-JAN-01
8,3,2016-OCT-27,2016-NOV-26,2017-JAN-01
9,1,2016-OCT-27,2016-NOV-26,2017-JAN-01
9,2,2016-OCT-27,2016-NOV-26,2017-JAN-01
9,3,2016-OCT-27,2016-NOV-26,2017-JAN-01
10,1,2016-OCT-27,2016-NOV-26,2017-JAN-01
10,2,2016-OCT-27,2016-NOV-26,2017-JAN-01
10,3,2016-OCT-27,2016-NOV-26,2017-JAN-01
11,1,2016-OCT-27,2016-NOV-26,2017-JAN-01
11,2,2016-OCT-27,2016-NOV-26,2017-JAN-01
