SIRE,DAM,MATE DATE,?  ID,DIST,BEANS,DISP. DATE,?,?,FREEZE DATE
1,1,2016-OCT-27,1,115,5,2016-NOV-26,10,13,2017-JAN-03
1,1,2016-OCT-27,2,114,3,2016-NOV-26,3,3,2017-JAN-03
1,1,2016-OCT-27,3,113,1,2016-NOV-26,4,2,2017-JAN-03
1,1,2016-OCT-27,4,112,5,2016-NOV-26,9,9,2017-JAN-03
1,1,2016-OCT-27,5,112,10,2016-NOV-26,6,11,2017-JAN-03
1,1,2016-OCT-27,6,112,1,2016-NOV-26,5,1,2017-JAN-03
1,1,2016-OCT-27,7,119,3,2016-NOV-26,10,8,2017-JAN-03
1,1,2016-OCT-27,8,111,10,2016-NOV-26,18,16,2017-JAN-03
1,2,2016-OCT-27,1,126,3,2016-NOV-26,14,12,2017-JAN-03
1,2,2016-OCT-27,2,123,3,2016-NOV-26,1,1,2017-JAN-03
1,2,2016-OCT-27,3,120,10,2016-NOV-26,19,7,2017-JAN-03
1,2,2016-OCT-27,4,116,10,2016-NOV-26,10,8,2017-JAN-03
1,2,2016-OCT-27,5,114,1,2016-NOV-26,5,2,2017-JAN-03
1,2,2016-OCT-27,6,114,5,2016-NOV-26,9,8,2017-JAN-03
1,2,2016-OCT-27,7,108,5,2016-NOV-26,9,9,2017-JAN-03
1,2,2016-OCT-27,8,113,1,2016-NOV-26,1,1,2017-JAN-03
1,3,2016-OCT-27,1,114,5,2016-NOV-26,1,1,2017-JAN-03
1,3,2016-OCT-27,2,94,3,2016-NOV-26,2,3,2017-JAN-03
1,3,2016-OCT-27,3,117,1,2016-NOV-26,1,2,2017-JAN-03
1,3,2016-OCT-27,4,134,10,2016-NOV-26,1,2,2017-JAN-03
1,3,2016-OCT-27,5,127,5,2016-NOV-26,10,14,2017-JAN-03
1,3,2016-OCT-27,6,120,10,2016-NOV-26,2,1,2017-JAN-03
1,3,2016-OCT-27,7,120,1,2016-NOV-26,1,1,2017-JAN-03
1,3,2016-OCT-27,8,119,3,2016-NOV-26,8,10,2017-JAN-03
2,1,2016-OCT-27,1,115,3,2016-NOV-26,1,1,2017-JAN-03
2,1,2016-OCT-27,2,115,5,2016-NOV-26,1,1,2017-JAN-03
2,1,2016-OCT-27,3,114,1,2016-NOV-26,1,1,2017-JAN-03
2,1,2016-OCT-27,4,114,3,2016-NOV-26,1,1,2017-JAN-03
2,1,2016-OCT-27,5,114,1,2016-NOV-26,2,4,2017-JAN-03
2,1,2016-OCT-27,6,115,10,2016-NOV-26,16,18,2017-JAN-03
2,1,2016-OCT-27,7,116,5,2016-NOV-26,14,14,2017-JAN-03
2,1,2016-OCT-27,8,119,10,2016-NOV-26,1,1,2017-JAN-03
2,2,2016-OCT-27,1,98,3,2016-NOV-26,9,7,2017-JAN-03
2,2,2016-OCT-27,2,117,10,2016-NOV-26,3,8,2017-JAN-03
2,2,2016-OCT-27,3,118,1,2016-NOV-26,4,8,2017-JAN-03
2,2,2016-OCT-27,4,120,5,2016-NOV-26,1,1,2017-JAN-03
2,2,2016-OCT-27,5,121,3,2016-NOV-26,13,5,2017-JAN-03
2,2,2016-OCT-27,6,96,10,2016-NOV-26,3,2,2017-JAN-03
2,2,2016-OCT-27,7,125,1,2016-NOV-26,1,7,2017-JAN-03
2,2,2016-OCT-27,8,NA,5,2016-NOV-26,NA,NA,2017-JAN-03
2,3,2016-OCT-27,1,9,5,2016-NOV-26,11,15,2017-JAN-03
2,3,2016-OCT-27,2,12,1,2016-NOV-26,3,2,2017-JAN-03
2,3,2016-OCT-27,3,15,10,2016-NOV-26,20,24,2017-JAN-03
2,3,2016-OCT-27,4,15,3,2016-NOV-26,5,17,2017-JAN-03
2,3,2016-OCT-27,5,20,5,2016-NOV-26,24,11,2017-JAN-03
