sire,dam,beans,f,m
8,3,1,1,3
8,3,3,4,3
8,3,5,3,2
8,3,10,1,1
8,3,1,1,2
8,3,3,3,4
8,3,5,5,8
8,3,10,13,20
14,1,5,11,7
14,1,10,21,25
14,1,3,4,7
14,1,10,7,6
14,1,1,3,3
16,3,10,27,34
16,3,1,5,4
36,2,1,4,3
4,2,1,3,8
4,2,1,2,2
26,2,1,6,6
26,2,3,9,11
26,2,5,5,7
26,2,10,16,15
26,2,1,2,6
26,2,3,14,9
26,2,5,11,8
26,2,10,1,1
26,2,1,4,5
26,2,10,13,8
24,1,10,29,28
24,1,5,19,15
24,1,3,13,9
24,1,1,6,9
24,1,1,4,5
30,1,3,11,10
30,1,5,7,6
30,1,10,15,13
30,1,1,6,3
14,1,1,4,2
36,2,5,11,9
36,2,3,9,10
36,2,1,8,7
36,1,5,13,7
36,1,1,4,6
36,1,10,28,21
36,1,10,3,8
36,1,10,17,14
36,1,1,5,7
36,1,1,1,1
36,1,3,13,10
36,1,3,3,5
36,1,5,19,11
35,1,1,4,3
35,1,3,17,12
35,1,3,16,21
35,1,5,9,7
35,1,10,4,5
35,1,1,7,3
35,1,5,13,9
35,1,1,2,3
35,1,10,8,11
39,2,1,7,7
39,2,1,5,6
39,2,5,12,11
39,2,3,4,7
39,2,1,1,1
39,2,3,11,16
20,2,5,12,13
20,2,10,12,24
20,2,3,7,5
20,2,1,1,4
20,2,10,13,17
20,2,1,4,6
20,2,1,5,13
20,1,1,7,3
20,1,3,8,14
20,1,1,2,4
20,1,5,7,11
20,1,10,2,1
16,1,1,4,5
16,1,3,4,8
16,1,3,12,21
16,1,3,8,7
16,1,5,13,9
16,1,5,12,18
16,1,5,8,10
13,1,1,1,1
13,1,3,4,7
13,1,5,15,12
13,1,5,3,9
13,1,10,14,9
13,1,10,13,16
13,1,1,6,6
13,1,3,4,2
13,1,5,9,19
13,1,10,19,21
13,1,1,5,5
13,1,3,8,12
13,2,NA,NA,NA
13,3,NA,NA,NA
15,1,NA,NA,NA
15,2,NA,NA,NA
15,3,NA,NA,NA
8,1,10,6,6
8,1,1,6,10
8,2,10,15,31
20,2,5,13,16
20,2,3,17,17
20,1,10,19,28
20,3,4,6,7
20,3,5,10,13
20,3,10,17,20
20,3,10,4,3
20,3,10,8,8
22,1,1,2,3
21,1,10,8,4
21,1,1,6,6
21,2,5,14,10
21,2,10,7,4
21,2,3,13,13
21,2,1,8,4
21,2,5,3,9
48,1,1,3,9
20,3,5,12,16
17,3,3,10,14
17,3,10,27,21
17,3,10,15,24
17,3,5,24,20
17,3,1,3,1
19,2,10,16,19
19,2,5,20,15
19,2,3,8,8
19,2,1,7,6
49,3,1,4,6
49,3,1,4,6
49,3,3,5,2
49,3,3,13,6
49,3,10,20,26
49,3,5,12,15
12,1,1,5,8
12,1,3,3,3
12,1,5,22,26
22,3,10,3,1
22,3,5,19,14
22,3,3,10,10
22,3,1,5,4
22,3,1,3,4
22,3,3,9,6
22,3,3,4,11
22,3,10,28,30
22,3,10,3,3
1,3,5,12,7
1,3,10,5,6
1,3,1,3,3
20,3,1,6,7
20,3,1,5,10
20,3,1,4,2
20,3,3,9,10
20,3,3,11,14
20,3,3,14,14
16,1,10,29,23
16,1,10,7,4
16,1,10,6,7
16,1,1,8,2
16,1,1,1,1
4,2,3,9,2
4,2,3,13,4
4,2,1,2,2
4,2,10,5,4
4,2,10,12,12
4,2,5,5,12
4,2,5,14,24
16,2,10,16,4
16,2,10,26,35
16,2,5,20,17
16,2,3,11,15
16,2,1,3,2
16,2,1,4,8
16,2,3,13,9
16,2,5,7,10
17,3,1,6,4
21,1,3,3,2
17,2,1,6,7
22,3,1,3,6
22,3,5,6,3
22,3,5,14,9
22,2,5,5,4
22,2,10,4,3
22,2,3,6,7
22,2,1,1,1
22,1,5,20,15
22,1,10,2,1
22,1,3,7,7
22,1,1,1,2
19,3,10,1,1
5,3,1,5,4
1,3,3,9,7
12,1,10,23,26
19,1,10,22,21
19,1,1,5,4
19,1,3,9,11
19,1,5,9,9
12,3,10,32,33
14,3,3,5,5
11,3,10,10,9
10,2,10,4,13
10,3,10,28,24
10,2,5,11,13
10,2,3,6,6
10,2,1,4,4
19,3,5,8,17
10,3,5,14,14
10,3,3,12,12
10,3,1,3,8
5,2,5,11,15
19,3,1,6,7
11,3,5,19,12
11,3,1,2,9
11,3,3,10,7
5,2,3,1,1
5,2,1,3,1
12,2,3,6,13
12,2,10,26,23
12,2,5,7,7
12,2,1,3,2
5,2,10,7,5
14,3,1,4,2
14,3,10,2,3
14,2,10,21,19
14,2,5,3,5
14,2,3,1,1
3,3,3,1,1
3,3,5,1,2
3,2,1,3,1
